commence_time,home_team_name,away_team_name,spread,home_spread_odds,away_spread_odds,home_money_line_odds,away_money_line_odds,home_score,away_score
2023-04-07 20:35:00,San Francisco Giants,Kansas City Royals,-1.5,120.00,-140.00,-168.00,142.00,1,3
2023-04-07 22:40:00,Tampa Bay Rays,Oakland Athletics,-1.5,-105.00,-115.00,-225.00,188.00,9,5
2023-04-08 00:10:00,Milwaukee Brewers,St. Louis Cardinals,-1.5,135.00,-155.00,-162.00,136.00,4,0
2023-04-08 01:40:00,Arizona Diamondbacks,Los Angeles Dodgers,1.5,105.00,-125.00,188.00,-225.00,6,3
2023-04-08 20:10:00,Detroit Tigers,Boston Red Sox,1.5,-135.00,115.00,130.00,-154.00,5,14
2023-04-08 23:20:00,Atlanta Braves,San Diego Padres,-1.5,130.00,-150.00,-168.00,142.00,1,4
2023-04-09 00:10:00,Arizona Diamondbacks,Los Angeles Dodgers,1.5,-140.00,120.00,130.00,-154.00,12,8
2023-04-08 23:05:00,Baltimore Orioles,New York Yankees,1.5,-155.00,135.00,-210.00,160.00,1,4
2023-04-09 17:05:00,Philadelphia Phillies,Cincinnati Reds,-1.5,105.00,-125.00,-188.00,158.00,4,6
2023-04-09 17:40:00,New York Mets,Miami Marlins,-1.5,130.00,-150.00,-162.00,136.00,2,7
2023-04-09 18:10:00,Milwaukee Brewers,St. Louis Cardinals,-1.5,140.00,-165.00,-156.00,132.00,6,1
2023-04-09 20:05:00,San Francisco Giants,Kansas City Royals,-1.5,115.00,-135.00,-162.00,136.00,3,1
2023-04-10 22:35:00,Baltimore Orioles,Oakland Athletics,-1.5,110.00,-130.00,-186.00,156.00,5,1
2023-04-10 22:35:00,Pittsburgh Pirates,Houston Astros,1.5,-110.00,-110.00,158.00,-188.00,2,8
2023-04-11 00:05:00,Texas Rangers,Kansas City Royals,-1.5,115.00,-135.00,-166.00,140.00,11,2
2023-04-11 01:38:00,Los Angeles Angels,Washington Nationals,-1.5,-105.00,-115.00,-220.00,184.00,4,6
2023-04-11 01:45:00,San Francisco Giants,Los Angeles Dodgers,1.5,-130.00,110.00,130.00,-154.00,1,9
2023-04-11 22:09:05,Cleveland Guardians,New York Yankees,1.5,-125.00,105.00,144.00,-172.00,2,11
2023-04-11 22:35:00,Baltimore Orioles,Oakland Athletics,-1.5,130.00,-150.00,-164.00,138.00,12,8
2023-04-11 22:35:00,Pittsburgh Pirates,Houston Astros,1.5,-115.00,-105.00,148.00,-176.00,7,4
2023-04-11 22:40:00,Philadelphia Phillies,Miami Marlins,-1.5,140.00,-165.00,-162.00,136.00,4,8
2023-04-12 00:40:00,Colorado Rockies,St. Louis Cardinals,1.5,-110.00,-110.00,138.00,-164.00,6,9
2023-04-11 23:40:00,Chicago Cubs,Seattle Mariners,1.5,-170.00,150.00,160.00,-210.00,14,9
2023-04-11 23:40:00,Minnesota Twins,Chicago White Sox,-1.5,160.00,-190.00,136.00,-174.00,4,3
2023-04-12 01:45:00,San Francisco Giants,Los Angeles Dodgers,1.5,-135.00,115.00,134.00,-158.00,5,0
2023-04-12 16:35:00,Pittsburgh Pirates,Houston Astros,1.5,-125.00,105.00,158.00,-188.00,0,7
2023-04-12 17:10:00,Minnesota Twins,Chicago White Sox,-1.5,140.00,-165.00,-156.00,132.00,3,1
2023-04-12 19:10:00,Colorado Rockies,St. Louis Cardinals,1.5,105.00,-125.00,152.00,-180.00,4,7
2023-04-12 20:05:00,Philadelphia Phillies,Miami Marlins,-1.5,105.00,-125.00,-190.00,160.00,2,3
2023-04-12 20:07:00,Los Angeles Angels,Washington Nationals,-1.5,115.00,-135.00,-172.00,144.00,3,2
2023-04-12 22:35:00,Baltimore Orioles,Oakland Athletics,-1.5,100.00,-120.00,-190.00,160.00,4,8
2023-04-13 00:05:00,Texas Rangers,Kansas City Royals,-1.5,115.00,-135.00,-174.00,146.00,1,10
2023-04-13 01:45:00,San Francisco Giants,Los Angeles Dodgers,1.5,-115.00,-105.00,148.00,-176.00,5,10
2023-04-12 23:07:00,Toronto Blue Jays,Detroit Tigers,-1.5,-125.00,105.00,-174.00,136.00,4,3
2023-04-12 23:20:00,Atlanta Braves,Cincinnati Reds,-1.5,-120.00,100.00,-196.00,152.00,5,4
2023-04-13 17:05:00,Baltimore Orioles,Oakland Athletics,-1.5,-105.00,-115.00,-205.00,172.00,8,7
2023-04-13 17:10:00,Tampa Bay Rays,Boston Red Sox,-1.5,115.00,-135.00,-184.00,154.00,9,3
2023-04-13 23:05:00,New York Yankees,Minnesota Twins,-1.5,145.00,-170.00,-154.00,130.00,2,11
2023-04-13 23:07:00,Toronto Blue Jays,Detroit Tigers,-1.5,-110.00,-110.00,-230.00,190.00,1,3
2023-04-13 23:45:00,St. Louis Cardinals,Pittsburgh Pirates,-1.5,-110.00,-110.00,-235.00,194.00,0,5
2023-04-14 01:40:00,San Diego Padres,Milwaukee Brewers,-1.5,140.00,-165.00,-164.00,138.00,3,4
2023-04-14 23:05:00,New York Yankees,Minnesota Twins,-1.5,125.00,-145.00,-184.00,154.00,3,4
2023-04-15 00:10:00,Houston Astros,Texas Rangers,-1.5,135.00,-155.00,-168.00,142.00,2,6
2023-04-15 00:15:00,St. Louis Cardinals,Pittsburgh Pirates,-1.5,125.00,-145.00,-162.00,136.00,3,0
2023-04-15 01:40:00,Oakland Athletics,New York Mets,1.5,-110.00,-110.00,158.00,-188.00,6,17
2023-04-15 02:10:00,Los Angeles Dodgers,Chicago Cubs,-1.5,125.00,-145.00,-174.00,146.00,2,8
2023-04-15 02:10:00,Seattle Mariners,Colorado Rockies,-1.5,130.00,-150.00,-172.00,144.00,5,3
2023-04-14 22:40:00,Detroit Tigers,San Francisco Giants,1.5,-150.00,130.00,-174.00,134.00,7,5
2023-04-14 23:10:00,Chicago White Sox,Baltimore Orioles,1.5,-175.00,150.00,-166.00,140.00,3,6
2023-04-15 01:40:00,San Diego Padres,Milwaukee Brewers,-1.5,115.00,-135.00,-168.00,142.00,2,11
2023-04-15 18:15:00,St. Louis Cardinals,Pittsburgh Pirates,-1.5,105.00,-125.00,-180.00,152.00,3,6
2023-04-15 21:45:25,Washington Nationals,Cleveland Guardians,1.5,-120.00,100.00,142.00,-168.00,4,6
2023-04-15 20:07:00,Oakland Athletics,New York Mets,1.5,-110.00,-110.00,162.00,-194.00,2,3
2023-04-15 23:09:42,Houston Astros,Texas Rangers,-1.5,120.00,-140.00,-168.00,142.00,8,2
2023-04-16 01:10:00,Los Angeles Dodgers,Chicago Cubs,-1.5,125.00,-145.00,-162.00,136.00,2,1
2023-04-16 01:40:00,Seattle Mariners,Colorado Rockies,-1.5,-110.00,-110.00,-255.00,210.00,9,2
2023-04-16 17:35:00,Washington Nationals,Cleveland Guardians,1.5,115.00,-135.00,194.00,-240.00,7,6
2023-04-16 17:35:00,New York Yankees,Minnesota Twins,-1.5,145.00,-170.00,-168.00,142.00,2,0
2023-04-16 17:40:00,Cincinnati Reds,Philadelphia Phillies,1.5,-105.00,-115.00,158.00,-188.00,3,14
2023-04-16 18:10:00,Kansas City Royals,Atlanta Braves,1.5,-120.00,100.00,136.00,-162.00,4,5
2023-04-16 18:15:00,St. Louis Cardinals,Pittsburgh Pirates,-1.5,110.00,-130.00,-184.00,154.00,5,4
2023-04-16 20:10:00,Los Angeles Dodgers,Chicago Cubs,-1.5,100.00,-120.00,-245.00,200.00,2,3
2023-04-16 20:10:00,San Diego Padres,Milwaukee Brewers,-1.5,120.00,-140.00,-174.00,146.00,0,1
2023-04-16 23:10:00,Houston Astros,Texas Rangers,-1.5,110.00,-130.00,-210.00,176.00,1,9
2023-04-17 15:10:00,Boston Red Sox,Los Angeles Angels,1.5,-125.00,105.00,132.00,-156.00,4,5
2023-04-17 23:39:31,Kansas City Royals,Texas Rangers,1.5,-105.00,-115.00,176.00,-210.00,0,4
2023-04-17 23:45:00,St. Louis Cardinals,Arizona Diamondbacks,-1.5,130.00,-150.00,-158.00,134.00,3,6
2023-04-18 01:40:00,San Diego Padres,Atlanta Braves,1.5,-130.00,110.00,132.00,-156.00,0,2
2023-04-18 02:10:00,Los Angeles Dodgers,New York Mets,-1.5,130.00,-150.00,-164.00,138.00,6,8
2023-04-18 23:45:00,St. Louis Cardinals,Arizona Diamondbacks,-1.5,115.00,-135.00,-180.00,152.00,7,8
2023-04-19 01:40:00,Oakland Athletics,Chicago Cubs,1.5,-115.00,-105.00,144.00,-172.00,0,4
2023-04-19 01:40:00,Seattle Mariners,Milwaukee Brewers,-1.5,125.00,-145.00,-164.00,138.00,5,6
2023-04-19 02:10:00,Los Angeles Dodgers,New York Mets,-1.5,130.00,-150.00,-180.00,152.00,5,0
2023-04-18 23:05:00,New York Yankees,Los Angeles Angels,-1.5,145.00,-170.00,134.00,-172.00,2,5
2023-04-18 23:10:00,Boston Red Sox,Minnesota Twins,-1.5,-125.00,-105.00,-290.00,210.00,5,4
2023-04-18 23:40:00,Chicago White Sox,Philadelphia Phillies,1.5,-140.00,120.00,-220.00,172.00,3,0
2023-04-18 23:40:00,Kansas City Royals,Texas Rangers,1.5,-165.00,140.00,-174.00,136.00,2,12
2023-04-19 16:35:00,Cincinnati Reds,Tampa Bay Rays,1.5,105.00,-125.00,176.00,-210.00,0,8
2023-04-19 17:15:00,St. Louis Cardinals,Arizona Diamondbacks,-1.5,105.00,-125.00,-196.00,164.00,14,5
2023-04-19 19:37:00,Oakland Athletics,Chicago Cubs,1.5,-126.00,105.00,144.00,-172.00,2,12
2023-04-20 22:35:00,Pittsburgh Pirates,Cincinnati Reds,-1.5,140.00,-165.00,-154.00,130.00,4,3
2023-04-20 22:40:00,Philadelphia Phillies,Colorado Rockies,-1.5,-110.00,-110.00,-200.00,168.00,0,5
2023-04-21 18:20:00,Chicago Cubs,Los Angeles Dodgers,1.5,-120.00,100.00,138.00,-164.00,13,0
2023-04-21 22:40:00,Tampa Bay Rays,Chicago White Sox,-1.5,120.00,-140.00,-168.00,142.00,8,7
