commence_time,first_home_odds,first_away_odds,home_score,away_score,result
2023-04-27 16:20:00,-198.00,166.00,4,5,AWAY WIN
2023-04-27 23:40:00,-190.00,160.00,7,1,HOME WIN
2023-04-29 00:05:00,-188.00,158.00,5,2,HOME WIN
2023-04-29 00:10:00,-158.00,134.00,1,3,AWAY WIN
2023-04-29 22:05:00,-172.00,144.00,16,11,HOME WIN
2023-04-30 17:37:00,-168.00,142.00,8,10,AWAY WIN
2023-04-30 18:10:00,-205.00,172.00,8,4,HOME WIN
2023-05-02 00:10:00,-198.00,166.00,7,3,HOME WIN
2023-05-02 01:40:00,-215.00,180.00,8,3,HOME WIN
2023-05-02 02:10:00,-178.00,150.00,13,4,HOME WIN
2023-05-02 23:05:00,-172.00,144.00,4,2,HOME WIN
2023-05-03 00:10:00,-168.00,142.00,0,2,AWAY WIN
2023-05-03 01:40:00,-166.00,140.00,1,2,AWAY WIN
2023-05-03 02:10:00,-184.00,154.00,13,1,HOME WIN
2023-05-03 18:10:00,-166.00,140.00,2,4,AWAY WIN
2023-05-04 17:10:00,-205.00,172.00,3,2,HOME WIN
2023-05-05 18:20:00,-168.00,142.00,4,1,HOME WIN
2023-05-05 23:05:00,-178.00,150.00,3,5,AWAY WIN
2023-05-05 23:20:00,-210.00,176.00,4,9,AWAY WIN
2023-05-06 00:10:00,-162.00,136.00,8,12,AWAY WIN
2023-05-06 01:40:00,-180.00,152.00,3,1,HOME WIN
2023-05-06 18:15:00,-215.00,180.00,5,6,AWAY WIN
2023-05-06 18:20:00,-172.00,144.00,4,2,HOME WIN
2023-05-06 20:10:00,-190.00,160.00,2,3,AWAY WIN
2023-05-06 23:10:00,-174.00,146.00,4,5,AWAY WIN
2023-05-06 23:15:00,-166.00,140.00,4,1,HOME WIN
2023-05-07 15:35:00,-162.00,136.00,3,2,HOME WIN
2023-05-07 17:40:00,-210.00,176.00,6,13,AWAY WIN
2023-05-07 20:10:00,-162.00,136.00,8,9,AWAY WIN
2023-05-08 22:35:00,-205.00,158.00,2,0,HOME WIN
2023-05-08 23:05:00,-186.00,144.00,7,2,HOME WIN
2023-05-09 01:40:00,-205.00,172.00,5,2,HOME WIN
2023-05-09 01:40:00,-190.00,160.00,1,2,AWAY WIN
2023-05-09 22:35:00,-164.00,138.00,1,10,AWAY WIN
2023-05-09 23:20:00,-178.00,150.00,9,3,HOME WIN
2023-05-10 01:40:00,-168.00,142.00,5,0,HOME WIN
2023-05-10 19:40:00,-164.00,138.00,4,5,AWAY WIN
2023-05-10 19:45:00,-164.00,138.00,6,11,AWAY WIN
2023-05-10 23:19:23,-225.00,172.00,2,5,AWAY WIN
2023-05-13 00:10:00,-166.00,140.00,2,6,AWAY WIN
2023-05-13 17:10:00,-166.00,140.00,5,6,AWAY WIN
2023-05-13 18:10:00,-158.00,134.00,11,1,HOME WIN
2023-05-14 00:10:00,-166.00,140.00,7,2,HOME WIN
2023-05-14 17:40:00,-158.00,134.00,3,1,HOME WIN
2023-05-14 20:10:00,-174.00,146.00,4,0,HOME WIN
2023-05-16 00:10:00,-184.00,154.00,6,4,HOME WIN
2023-05-16 01:40:00,-210.00,176.00,4,0,HOME WIN
2023-05-16 22:39:35,-158.00,134.00,5,4,HOME WIN
2023-05-16 23:07:00,-180.00,152.00,3,6,AWAY WIN
2023-05-16 23:10:00,-164.00,138.00,5,8,AWAY WIN
2023-05-16 23:45:00,-180.00,152.00,2,3,AWAY WIN
2023-05-17 00:10:00,-172.00,144.00,7,3,HOME WIN
2023-05-17 01:40:00,-196.00,164.00,4,5,AWAY WIN
2023-05-17 02:10:00,-215.00,180.00,1,5,AWAY WIN
2023-05-17 17:10:00,-158.00,134.00,0,8,AWAY WIN
2023-05-18 00:10:00,-162.00,136.00,7,6,HOME WIN
2023-05-18 17:10:00,-154.00,130.00,5,3,HOME WIN
2023-05-19 22:40:00,-230.00,176.00,1,0,HOME WIN
2023-05-20 00:05:00,-215.00,180.00,7,2,HOME WIN
2023-05-20 01:40:00,-158.00,134.00,1,6,AWAY WIN
2023-05-20 18:10:00,-164.00,138.00,5,1,HOME WIN
2023-05-20 20:05:00,-174.00,146.00,12,3,HOME WIN
2023-05-20 20:05:00,-200.00,168.00,11,5,HOME WIN
2023-05-20 20:05:00,-180.00,152.00,0,1,AWAY WIN
2023-05-21 17:37:00,-200.00,168.00,3,8,AWAY WIN
2023-05-21 18:35:00,-215.00,180.00,13,3,HOME WIN
2023-05-21 20:07:00,-156.00,132.00,4,2,HOME WIN
2023-05-21 23:10:00,-168.00,142.00,2,1,HOME WIN
2023-05-21 23:10:00,-162.00,136.00,2,1,HOME WIN
2023-05-22 22:40:00,-210.00,176.00,3,6,AWAY WIN
2023-05-23 23:05:00,-184.00,154.00,6,5,HOME WIN
2023-05-23 23:20:00,-200.00,168.00,1,8,AWAY WIN
2023-05-24 17:10:00,-164.00,138.00,7,1,HOME WIN
2023-05-24 22:38:00,-210.00,176.00,7,3,HOME WIN
2023-05-26 18:20:00,-172.00,144.00,0,9,AWAY WIN
2023-05-27 02:10:00,-168.00,142.00,6,11,AWAY WIN
2023-05-27 20:10:00,-215.00,180.00,5,0,HOME WIN
2023-05-27 23:15:00,-190.00,148.00,1,2,AWAY WIN
