commence_time,first_home_odds,first_away_odds,home_score,away_score,result
2023-09-28 00:40:00,184.00,-220.00,2,8,AWAY WIN
2023-09-29 00:40:00,188.00,-225.00,14,5,HOME WIN
2023-09-30 00:10:00,156.00,-186.00,6,7,AWAY WIN
2023-09-30 22:35:00,156.00,-200.00,3,7,AWAY WIN
2023-09-30 23:10:00,156.00,-200.00,6,10,AWAY WIN
2024-03-20 10:05:00,162.00,-194.00,2,5,AWAY WIN
2024-04-02 23:40:00,184.00,-220.00,3,2,HOME WIN
2024-04-09 23:40:00,156.00,-186.00,3,6,AWAY WIN
2024-04-12 23:10:00,168.00,-200.00,1,8,AWAY WIN
2024-04-13 20:10:00,166.00,-198.00,5,1,HOME WIN
2024-04-20 20:05:00,158.00,-188.00,5,4,HOME WIN
2024-04-21 17:35:00,164.00,-196.00,6,0,HOME WIN
2024-04-22 00:10:00,164.00,-196.00,2,10,AWAY WIN
2024-04-23 00:40:00,172.00,-205.00,1,3,AWAY WIN
2024-04-23 22:45:11,184.00,-220.00,1,4,AWAY WIN
2024-04-24 22:45:00,160.00,-190.00,2,11,AWAY WIN
2024-04-25 20:05:00,176.00,-210.00,1,2,AWAY WIN
2024-04-27 22:26:59,184.00,-220.00,4,12,AWAY WIN
2024-04-28 18:10:00,158.00,-188.00,4,2,HOME WIN
2024-05-01 18:10:00,172.00,-205.00,5,10,AWAY WIN
2024-05-07 22:45:00,190.00,-230.00,3,0,HOME WIN
2024-05-11 00:40:00,156.00,-186.00,4,2,HOME WIN
2024-05-12 17:40:00,194.00,-240.00,7,6,HOME WIN
2024-05-14 01:45:00,180.00,-215.00,4,6,AWAY WIN
2024-05-15 23:21:56,182.00,-240.00,1,7,AWAY WIN
2024-05-21 22:45:25,164.00,-196.00,0,10,AWAY WIN
2024-05-23 22:40:00,192.00,-260.00,1,9,AWAY WIN
2024-05-25 00:40:00,172.00,-205.00,3,2,HOME WIN
2024-05-26 01:10:00,194.00,-235.00,4,8,AWAY WIN
2024-05-26 17:35:00,176.00,-210.00,1,8,AWAY WIN
2024-05-26 19:10:00,184.00,-220.00,5,2,HOME WIN
2024-05-27 18:10:00,168.00,-200.00,1,5,AWAY WIN
2024-05-29 00:20:00,190.00,-230.00,2,7,AWAY WIN
