commence_time,first_home_odds,last_home_odds,home_line_movement,first_away_odds,last_away_odds,away_line_movement,home_score,away_score,result
2023-09-11 23:40:00,108.00,180.00,72.00,-126.00,-235.00,-109.00,4,7,AWAY WIN
2024-08-03 22:35:34,118.00,190.00,72.00,-138.00,-250.00,-112.00,6,5,HOME WIN
2023-09-07 22:40:00,112.00,180.00,68.00,-132.00,-235.00,-103.00,0,10,AWAY WIN
2023-05-31 22:40:00,112.00,178.00,66.00,-132.00,-235.00,-103.00,2,1,HOME WIN
2024-08-28 23:40:00,120.00,186.00,66.00,-142.00,-245.00,-103.00,1,5,AWAY WIN
2024-09-04 23:42:00,100.00,162.00,62.00,-118.00,-210.00,-92.00,2,3,AWAY WIN
2023-05-01 23:05:00,112.00,172.00,60.00,-132.00,-225.00,-93.00,1,5,AWAY WIN
2024-05-24 23:09:55,134.00,188.00,54.00,-158.00,-250.00,-92.00,9,6,HOME WIN
2023-06-07 23:05:00,108.00,158.00,50.00,-126.00,-205.00,-79.00,2,6,AWAY WIN
2023-08-09 23:10:00,120.00,168.00,48.00,-142.00,-215.00,-73.00,0,1,AWAY WIN
2023-09-05 22:40:00,152.00,192.00,40.00,-180.00,-260.00,-80.00,7,6,HOME WIN
2023-09-05 22:40:00,134.00,170.00,36.00,-158.00,-220.00,-62.00,6,3,HOME WIN
2023-09-06 01:38:00,120.00,156.00,36.00,-142.00,-186.00,-44.00,4,5,AWAY WIN
2023-04-15 01:40:00,158.00,190.00,32.00,-188.00,-230.00,-42.00,6,17,AWAY WIN
2023-05-18 23:45:00,126.00,156.00,30.00,-148.00,-205.00,-57.00,16,8,HOME WIN
2023-06-23 22:40:00,136.00,164.00,28.00,-162.00,-215.00,-53.00,11,10,HOME WIN
2023-09-03 00:10:00,148.00,176.00,28.00,-176.00,-210.00,-34.00,8,7,HOME WIN
2023-04-19 01:40:00,144.00,168.00,24.00,-172.00,-200.00,-28.00,0,4,AWAY WIN
2023-06-08 00:40:00,168.00,190.00,22.00,-200.00,-230.00,-30.00,4,5,AWAY WIN
2023-08-22 00:10:00,144.00,164.00,20.00,-172.00,-196.00,-24.00,2,14,AWAY WIN
2023-07-21 01:40:00,158.00,176.00,18.00,-188.00,-210.00,-22.00,1,3,AWAY WIN
2023-06-10 00:40:00,152.00,168.00,16.00,-180.00,-200.00,-20.00,6,9,AWAY WIN
2024-06-06 22:40:00,158.00,174.00,16.00,-188.00,-230.00,-42.00,7,11,AWAY WIN
2024-05-30 01:38:00,162.00,176.00,14.00,-194.00,-210.00,-16.00,1,2,AWAY WIN
2024-07-09 00:10:00,154.00,168.00,14.00,-184.00,-200.00,-16.00,6,8,AWAY WIN
2024-09-05 01:39:00,158.00,172.00,14.00,-188.00,-205.00,-17.00,10,1,HOME WIN
