commence_time,first_away_odds,last_away_odds,away_line_movement,first_home_odds,last_home_odds,home_line_movement,home_score,away_score,result
2023-09-18 22:40:00,128.00,176.00,48.00,-152.00,-230.00,-78.00,1,2,AWAY WIN
2023-05-30 23:10:00,102.00,148.00,46.00,-120.00,-190.00,-70.00,2,0,HOME WIN
2023-06-17 01:40:00,120.00,166.00,46.00,-142.00,-198.00,-56.00,5,1,HOME WIN
2024-08-26 23:09:37,130.00,176.00,46.00,-154.00,-230.00,-76.00,3,7,AWAY WIN
2023-04-24 23:40:00,110.00,154.00,44.00,-130.00,-200.00,-70.00,6,1,HOME WIN
2024-06-06 23:05:00,124.00,166.00,42.00,-146.00,-215.00,-69.00,8,5,HOME WIN
2024-08-12 23:11:00,112.00,154.00,42.00,-132.00,-200.00,-68.00,5,4,HOME WIN
2024-07-12 22:41:00,112.00,152.00,40.00,-132.00,-196.00,-64.00,3,4,AWAY WIN
2024-09-13 23:08:00,124.00,164.00,40.00,-146.00,-215.00,-69.00,5,4,HOME WIN
2024-09-27 23:11:00,110.00,150.00,40.00,-130.00,-194.00,-64.00,1,2,AWAY WIN
2023-07-06 22:40:00,120.00,156.00,36.00,-142.00,-200.00,-58.00,0,3,AWAY WIN
2024-03-30 23:05:00,102.00,138.00,36.00,-120.00,-180.00,-60.00,11,2,HOME WIN
2024-04-17 22:50:00,112.00,148.00,36.00,-132.00,-190.00,-58.00,4,5,AWAY WIN
2024-08-06 01:41:00,144.00,180.00,36.00,-172.00,-215.00,-43.00,5,1,HOME WIN
2024-08-25 01:11:00,144.00,180.00,36.00,-172.00,-215.00,-43.00,8,9,AWAY WIN
2024-09-06 00:06:00,130.00,166.00,36.00,-154.00,-198.00,-44.00,3,1,HOME WIN
2023-09-19 00:10:00,130.00,164.00,34.00,-154.00,-196.00,-42.00,7,8,AWAY WIN
2023-09-23 01:40:00,120.00,154.00,34.00,-142.00,-184.00,-42.00,4,2,HOME WIN
2023-04-25 23:40:00,140.00,172.00,32.00,-166.00,-225.00,-59.00,3,4,AWAY WIN
2023-08-28 22:40:00,124.00,156.00,32.00,-146.00,-200.00,-54.00,6,4,HOME WIN
2024-07-19 23:10:00,100.00,132.00,32.00,-118.00,-170.00,-52.00,7,0,HOME WIN
2024-08-13 01:41:00,136.00,168.00,32.00,-162.00,-200.00,-38.00,2,1,HOME WIN
2023-04-29 23:05:00,112.00,142.00,30.00,-132.00,-182.00,-50.00,2,0,HOME WIN
2023-05-03 00:10:00,142.00,172.00,30.00,-168.00,-205.00,-37.00,0,2,AWAY WIN
2023-09-24 00:40:00,136.00,166.00,30.00,-162.00,-198.00,-36.00,2,5,AWAY WIN
2024-08-31 23:16:00,128.00,158.00,30.00,-152.00,-205.00,-53.00,3,0,HOME WIN
2024-09-02 23:41:00,118.00,148.00,30.00,-138.00,-192.00,-54.00,3,5,AWAY WIN
2023-05-03 01:40:00,140.00,168.00,28.00,-166.00,-200.00,-34.00,1,2,AWAY WIN
2023-09-13 01:45:00,124.00,152.00,28.00,-146.00,-180.00,-34.00,1,3,AWAY WIN
2024-06-12 23:45:00,140.00,168.00,28.00,-166.00,-220.00,-54.00,4,2,HOME WIN
2024-06-19 23:41:59,136.00,164.00,28.00,-162.00,-215.00,-53.00,2,3,AWAY WIN
2024-09-21 00:11:00,136.00,164.00,28.00,-162.00,-196.00,-34.00,1,2,AWAY WIN
2023-06-30 23:07:00,116.00,142.00,26.00,-136.00,-182.00,-46.00,0,5,AWAY WIN
2023-07-21 23:10:00,110.00,136.00,26.00,-130.00,-174.00,-44.00,9,6,HOME WIN
2023-09-14 23:16:32,118.00,144.00,26.00,-138.00,-186.00,-48.00,3,4,AWAY WIN
2024-05-16 00:05:00,128.00,154.00,26.00,-152.00,-184.00,-32.00,4,0,HOME WIN
2024-07-19 23:05:00,150.00,176.00,26.00,-178.00,-230.00,-52.00,6,1,HOME WIN
2023-06-04 02:10:00,134.00,158.00,24.00,-158.00,-188.00,-30.00,6,0,HOME WIN
2023-08-02 23:07:00,112.00,136.00,24.00,-132.00,-174.00,-42.00,4,1,HOME WIN
2024-06-15 00:10:00,118.00,142.00,24.00,-138.00,-168.00,-30.00,5,6,AWAY WIN
2024-08-31 00:11:00,134.00,158.00,24.00,-158.00,-188.00,-30.00,2,0,HOME WIN
2023-07-16 21:30:00,110.00,132.00,22.00,-130.00,-168.00,-38.00,2,1,HOME WIN
2023-08-05 23:45:00,138.00,160.00,22.00,-164.00,-210.00,-46.00,12,1,HOME WIN
2023-08-15 00:05:00,146.00,168.00,22.00,-174.00,-200.00,-26.00,12,0,HOME WIN
2024-05-02 00:05:00,142.00,164.00,22.00,-168.00,-196.00,-28.00,0,1,AWAY WIN
2024-05-07 23:46:40,108.00,130.00,22.00,-126.00,-166.00,-40.00,5,7,AWAY WIN
2024-05-27 22:42:26,146.00,168.00,22.00,-174.00,-215.00,-41.00,2,1,HOME WIN
2024-08-10 02:11:00,154.00,176.00,22.00,-184.00,-210.00,-26.00,9,5,HOME WIN
2024-08-20 00:06:00,108.00,130.00,22.00,-126.00,-154.00,-28.00,4,3,HOME WIN
2024-09-06 23:11:00,136.00,158.00,22.00,-162.00,-205.00,-43.00,6,4,HOME WIN
2024-09-11 01:41:00,124.00,146.00,22.00,-146.00,-174.00,-28.00,6,0,HOME WIN
2023-09-11 23:07:00,124.00,144.00,20.00,-146.00,-182.00,-36.00,4,10,AWAY WIN
2024-05-07 23:20:59,140.00,160.00,20.00,-166.00,-210.00,-44.00,4,2,HOME WIN
2024-05-18 00:05:00,138.00,158.00,20.00,-164.00,-188.00,-24.00,3,9,AWAY WIN
2024-06-29 23:16:00,124.00,144.00,20.00,-146.00,-182.00,-36.00,6,5,HOME WIN
2024-07-20 23:16:00,116.00,136.00,20.00,-136.00,-174.00,-38.00,7,6,HOME WIN
2024-08-10 23:11:00,118.00,138.00,20.00,-138.00,-178.00,-40.00,1,0,HOME WIN
2023-07-30 00:10:00,134.00,152.00,18.00,-158.00,-180.00,-22.00,6,11,AWAY WIN
2024-03-21 10:05:00,140.00,158.00,18.00,-166.00,-188.00,-22.00,11,15,AWAY WIN
2024-05-05 01:10:00,140.00,158.00,18.00,-166.00,-188.00,-22.00,11,2,HOME WIN
2024-06-29 01:41:00,128.00,146.00,18.00,-152.00,-174.00,-22.00,4,9,AWAY WIN
2024-07-04 00:06:00,118.00,136.00,18.00,-138.00,-162.00,-24.00,4,6,AWAY WIN
2024-07-28 00:11:00,136.00,154.00,18.00,-162.00,-184.00,-22.00,9,5,HOME WIN
2023-06-03 01:40:00,130.00,146.00,16.00,-154.00,-174.00,-20.00,1,2,AWAY WIN
2023-06-15 01:40:00,126.00,142.00,16.00,-148.00,-168.00,-20.00,5,0,HOME WIN
2023-07-22 23:44:00,120.00,136.00,16.00,-142.00,-174.00,-32.00,3,2,HOME WIN
2023-07-23 01:07:00,150.00,166.00,16.00,-178.00,-198.00,-20.00,0,3,AWAY WIN
2023-08-16 00:05:00,152.00,168.00,16.00,-180.00,-200.00,-20.00,7,3,HOME WIN
2023-09-06 01:40:00,160.00,176.00,16.00,-190.00,-210.00,-20.00,2,3,AWAY WIN
2024-05-14 00:10:00,136.00,152.00,16.00,-162.00,-180.00,-18.00,9,2,HOME WIN
2024-05-28 23:40:08,124.00,140.00,16.00,-146.00,-180.00,-34.00,3,6,AWAY WIN
2024-08-07 01:41:00,144.00,160.00,16.00,-172.00,-190.00,-18.00,1,5,AWAY WIN
2024-08-10 00:11:00,114.00,130.00,16.00,-134.00,-154.00,-20.00,8,3,HOME WIN
2024-08-21 02:11:00,120.00,136.00,16.00,-142.00,-162.00,-20.00,6,3,HOME WIN
2024-08-22 22:41:00,124.00,140.00,16.00,-146.00,-180.00,-34.00,7,0,HOME WIN
