city,date,time,datetime,temp_c,temp_f,model,time_period,comparison_pair,month,month_name,season,actual_temp_f,has_actual_temp
miami,2023-07-06,06:00,2023-07-06T06:00,27.5,81.5,NOA_blend_equivalent,morning,2023-07-06,7,July,Summer,90.32,True
miami,2023-07-05,18:00,2023-07-05T18:00,31.6,88.88000000000001,NOA_blend_equivalent,evening,2023-07-06,7,July,Summer,89.24,True
chicago,2023-07-06,06:00,2023-07-06T06:00,20.3,68.54,NOA_blend_equivalent,morning,2023-07-06,7,July,Summer,78.08,True
chicago,2023-07-05,18:00,2023-07-05T18:00,25.8,78.44,NOA_blend_equivalent,evening,2023-07-06,7,July,Summer,90.14,True
los_angeles,2023-07-06,06:00,2023-07-06T06:00,15.9,60.62,NOA_blend_equivalent,morning,2023-07-06,7,July,Summer,68.54,True
los_angeles,2023-07-05,18:00,2023-07-05T18:00,18.2,64.75999999999999,NOA_blend_equivalent,evening,2023-07-06,7,July,Summer,67.64,True
denver,2023-07-07,06:00,2023-07-07T06:00,14.0,57.2,NOA_blend_equivalent,morning,2023-07-07,7,July,Summer,73.22,True
denver,2023-07-06,18:00,2023-07-06T18:00,22.1,71.78,NOA_blend_equivalent,evening,2023-07-07,7,July,Summer,74.48,True
miami,2023-07-07,06:00,2023-07-07T06:00,27.2,80.96,NOA_blend_equivalent,morning,2023-07-07,7,July,Summer,88.88000000000001,True
miami,2023-07-06,18:00,2023-07-06T18:00,30.4,86.72,NOA_blend_equivalent,evening,2023-07-07,7,July,Summer,90.32,True
chicago,2023-07-07,06:00,2023-07-07T06:00,18.0,64.4,NOA_blend_equivalent,morning,2023-07-07,7,July,Summer,77.72,True
chicago,2023-07-06,18:00,2023-07-06T18:00,23.0,73.4,NOA_blend_equivalent,evening,2023-07-07,7,July,Summer,78.08,True
los_angeles,2023-07-07,06:00,2023-07-07T06:00,16.7,62.06,NOA_blend_equivalent,morning,2023-07-07,7,July,Summer,69.62,True
los_angeles,2023-07-06,18:00,2023-07-06T18:00,18.8,65.84,NOA_blend_equivalent,evening,2023-07-07,7,July,Summer,68.54,True
denver,2023-07-08,06:00,2023-07-08T06:00,14.8,58.64,NOA_blend_equivalent,morning,2023-07-08,7,July,Summer,76.82,True
denver,2023-07-07,18:00,2023-07-07T18:00,19.6,67.28,NOA_blend_equivalent,evening,2023-07-08,7,July,Summer,73.22,True
miami,2023-07-08,06:00,2023-07-08T06:00,26.9,80.42,NOA_blend_equivalent,morning,2023-07-08,7,July,Summer,92.12,True
miami,2023-07-07,18:00,2023-07-07T18:00,31.2,88.16,NOA_blend_equivalent,evening,2023-07-08,7,July,Summer,88.88000000000001,True
chicago,2023-07-08,06:00,2023-07-08T06:00,18.5,65.3,NOA_blend_equivalent,morning,2023-07-08,7,July,Summer,73.04,True
chicago,2023-07-07,18:00,2023-07-07T18:00,24.9,76.82,NOA_blend_equivalent,evening,2023-07-08,7,July,Summer,77.72,True
los_angeles,2023-07-08,06:00,2023-07-08T06:00,16.6,61.88,NOA_blend_equivalent,morning,2023-07-08,7,July,Summer,70.34,True
los_angeles,2023-07-07,18:00,2023-07-07T18:00,18.6,65.48,NOA_blend_equivalent,evening,2023-07-08,7,July,Summer,69.62,True
denver,2023-07-09,06:00,2023-07-09T06:00,14.1,57.38,NOA_blend_equivalent,morning,2023-07-09,7,July,Summer,77.9,True
denver,2023-07-08,18:00,2023-07-08T18:00,24.5,76.1,NOA_blend_equivalent,evening,2023-07-09,7,July,Summer,76.82,True
miami,2023-07-09,06:00,2023-07-09T06:00,25.8,78.44,NOA_blend_equivalent,morning,2023-07-09,7,July,Summer,91.58,True
miami,2023-07-08,18:00,2023-07-08T18:00,32.2,89.96000000000001,NOA_blend_equivalent,evening,2023-07-09,7,July,Summer,92.12,True
chicago,2023-07-09,06:00,2023-07-09T06:00,16.3,61.34,NOA_blend_equivalent,morning,2023-07-09,7,July,Summer,81.86,True
chicago,2023-07-08,18:00,2023-07-08T18:00,23.0,73.4,NOA_blend_equivalent,evening,2023-07-09,7,July,Summer,73.04,True
los_angeles,2023-07-09,06:00,2023-07-09T06:00,17.5,63.5,NOA_blend_equivalent,morning,2023-07-09,7,July,Summer,71.24000000000001,True
los_angeles,2023-07-08,18:00,2023-07-08T18:00,19.0,66.2,NOA_blend_equivalent,evening,2023-07-09,7,July,Summer,70.34,True
denver,2023-07-10,06:00,2023-07-10T06:00,15.3,59.540000000000006,NOA_blend_equivalent,morning,2023-07-10,7,July,Summer,89.24,True
denver,2023-07-09,18:00,2023-07-09T18:00,26.5,79.7,NOA_blend_equivalent,evening,2023-07-10,7,July,Summer,77.9,True
miami,2023-07-10,06:00,2023-07-10T06:00,26.6,79.88,NOA_blend_equivalent,morning,2023-07-10,7,July,Summer,92.66,True
miami,2023-07-09,18:00,2023-07-09T18:00,31.8,89.24,NOA_blend_equivalent,evening,2023-07-10,7,July,Summer,91.58,True
chicago,2023-07-10,06:00,2023-07-10T06:00,17.6,63.68,NOA_blend_equivalent,morning,2023-07-10,7,July,Summer,84.91999999999999,True
chicago,2023-07-09,18:00,2023-07-09T18:00,27.6,81.68,NOA_blend_equivalent,evening,2023-07-10,7,July,Summer,81.86,True
los_angeles,2023-07-10,06:00,2023-07-10T06:00,14.3,57.74,NOA_blend_equivalent,morning,2023-07-10,7,July,Summer,74.12,True
los_angeles,2023-07-09,18:00,2023-07-09T18:00,19.0,66.2,NOA_blend_equivalent,evening,2023-07-10,7,July,Summer,71.24000000000001,True
denver,2023-07-11,06:00,2023-07-11T06:00,18.0,64.4,NOA_blend_equivalent,morning,2023-07-11,7,July,Summer,90.32,True
denver,2023-07-10,18:00,2023-07-10T18:00,31.4,88.52,NOA_blend_equivalent,evening,2023-07-11,7,July,Summer,89.24,True
miami,2023-07-11,06:00,2023-07-11T06:00,27.6,81.68,NOA_blend_equivalent,morning,2023-07-11,7,July,Summer,92.3,True
miami,2023-07-10,18:00,2023-07-10T18:00,33.1,91.58,NOA_blend_equivalent,evening,2023-07-11,7,July,Summer,92.66,True
chicago,2023-07-11,06:00,2023-07-11T06:00,21.6,70.88,NOA_blend_equivalent,morning,2023-07-11,7,July,Summer,84.2,True
chicago,2023-07-10,18:00,2023-07-10T18:00,28.6,83.48,NOA_blend_equivalent,evening,2023-07-11,7,July,Summer,84.91999999999999,True
los_angeles,2023-07-11,06:00,2023-07-11T06:00,16.4,61.52,NOA_blend_equivalent,morning,2023-07-11,7,July,Summer,72.68,True
los_angeles,2023-07-10,18:00,2023-07-10T18:00,20.7,69.25999999999999,NOA_blend_equivalent,evening,2023-07-11,7,July,Summer,74.12,True
denver,2023-07-12,06:00,2023-07-12T06:00,17.1,62.78,NOA_blend_equivalent,morning,2023-07-12,7,July,Summer,88.52,True
denver,2023-07-11,18:00,2023-07-11T18:00,32.4,90.32,NOA_blend_equivalent,evening,2023-07-12,7,July,Summer,90.32,True
miami,2023-07-12,06:00,2023-07-12T06:00,29.3,84.74,NOA_blend_equivalent,morning,2023-07-12,7,July,Summer,93.38,True
miami,2023-07-11,18:00,2023-07-11T18:00,33.4,92.12,NOA_blend_equivalent,evening,2023-07-12,7,July,Summer,92.3,True
chicago,2023-07-12,06:00,2023-07-12T06:00,18.0,64.4,NOA_blend_equivalent,morning,2023-07-12,7,July,Summer,78.8,True
chicago,2023-07-11,18:00,2023-07-11T18:00,21.2,70.16,NOA_blend_equivalent,evening,2023-07-12,7,July,Summer,84.2,True
los_angeles,2023-07-12,06:00,2023-07-12T06:00,15.9,60.62,NOA_blend_equivalent,morning,2023-07-12,7,July,Summer,74.66,True
los_angeles,2023-07-11,18:00,2023-07-11T18:00,20.6,69.08,NOA_blend_equivalent,evening,2023-07-12,7,July,Summer,72.68,True
denver,2023-07-13,06:00,2023-07-13T06:00,17.4,63.32,NOA_blend_equivalent,morning,2023-07-13,7,July,Summer,88.16,True
denver,2023-07-12,18:00,2023-07-12T18:00,30.5,86.9,NOA_blend_equivalent,evening,2023-07-13,7,July,Summer,88.52,True
miami,2023-07-13,06:00,2023-07-13T06:00,29.4,84.91999999999999,NOA_blend_equivalent,morning,2023-07-13,7,July,Summer,92.12,True
miami,2023-07-12,18:00,2023-07-12T18:00,34.0,93.2,NOA_blend_equivalent,evening,2023-07-13,7,July,Summer,93.38,True
chicago,2023-07-13,06:00,2023-07-13T06:00,17.1,62.78,NOA_blend_equivalent,morning,2023-07-13,7,July,Summer,76.46,True
chicago,2023-07-12,18:00,2023-07-12T18:00,22.5,72.5,NOA_blend_equivalent,evening,2023-07-13,7,July,Summer,78.8,True
los_angeles,2023-07-13,06:00,2023-07-13T06:00,16.3,61.34,NOA_blend_equivalent,morning,2023-07-13,7,July,Summer,75.02,True
los_angeles,2023-07-12,18:00,2023-07-12T18:00,21.9,71.42,NOA_blend_equivalent,evening,2023-07-13,7,July,Summer,74.66,True
denver,2023-07-14,06:00,2023-07-14T06:00,18.2,64.75999999999999,NOA_blend_equivalent,morning,2023-07-14,7,July,Summer,81.14,True
denver,2023-07-13,18:00,2023-07-13T18:00,31.6,88.88000000000001,NOA_blend_equivalent,evening,2023-07-14,7,July,Summer,88.16,True
miami,2023-07-14,06:00,2023-07-14T06:00,28.9,84.02,NOA_blend_equivalent,morning,2023-07-14,7,July,Summer,88.88000000000001,True
miami,2023-07-13,18:00,2023-07-13T18:00,32.6,90.68,NOA_blend_equivalent,evening,2023-07-14,7,July,Summer,92.12,True
chicago,2023-07-14,06:00,2023-07-14T06:00,20.3,68.54,NOA_blend_equivalent,morning,2023-07-14,7,July,Summer,86.36,True
chicago,2023-07-13,18:00,2023-07-13T18:00,23.9,75.02,NOA_blend_equivalent,evening,2023-07-14,7,July,Summer,76.46,True
los_angeles,2023-07-14,06:00,2023-07-14T06:00,15.8,60.440000000000005,NOA_blend_equivalent,morning,2023-07-14,7,July,Summer,78.62,True
los_angeles,2023-07-13,18:00,2023-07-13T18:00,21.4,70.52,NOA_blend_equivalent,evening,2023-07-14,7,July,Summer,75.02,True
denver,2023-07-15,06:00,2023-07-15T06:00,14.6,58.28,NOA_blend_equivalent,morning,2023-07-15,7,July,Summer,78.25999999999999,True
