city,date,time,datetime,temp_c,temp_f,model,time_period,comparison_pair,month,month_name,season,actual_temp_f,has_actual_temp
denver,2023-07-14,18:00,2023-07-14T18:00,26.5,79.7,NOA_blend_equivalent,evening,2023-07-15,7,July,Summer,81.14,True
miami,2023-07-15,06:00,2023-07-15T06:00,26.1,78.98,NOA_blend_equivalent,morning,2023-07-15,7,July,Summer,89.06,True
miami,2023-07-14,18:00,2023-07-14T18:00,32.7,90.86,NOA_blend_equivalent,evening,2023-07-15,7,July,Summer,88.88000000000001,True
chicago,2023-07-15,06:00,2023-07-15T06:00,20.5,68.9,NOA_blend_equivalent,morning,2023-07-15,7,July,Summer,84.74,True
chicago,2023-07-14,18:00,2023-07-14T18:00,30.7,87.26,NOA_blend_equivalent,evening,2023-07-15,7,July,Summer,86.36,True
los_angeles,2023-07-15,06:00,2023-07-15T06:00,17.3,63.14,NOA_blend_equivalent,morning,2023-07-15,7,July,Summer,78.44,True
los_angeles,2023-07-14,18:00,2023-07-14T18:00,22.1,71.78,NOA_blend_equivalent,evening,2023-07-15,7,July,Summer,78.62,True
denver,2023-07-16,06:00,2023-07-16T06:00,14.6,58.28,NOA_blend_equivalent,morning,2023-07-16,7,July,Summer,86.9,True
denver,2023-07-15,18:00,2023-07-15T18:00,28.0,82.4,NOA_blend_equivalent,evening,2023-07-16,7,July,Summer,78.25999999999999,True
miami,2023-07-16,06:00,2023-07-16T06:00,27.4,81.32,NOA_blend_equivalent,morning,2023-07-16,7,July,Summer,92.3,True
miami,2023-07-15,18:00,2023-07-15T18:00,30.6,87.08000000000001,NOA_blend_equivalent,evening,2023-07-16,7,July,Summer,89.06,True
chicago,2023-07-16,06:00,2023-07-16T06:00,18.6,65.48,NOA_blend_equivalent,morning,2023-07-16,7,July,Summer,81.86,True
chicago,2023-07-15,18:00,2023-07-15T18:00,28.7,83.66,NOA_blend_equivalent,evening,2023-07-16,7,July,Summer,84.74,True
los_angeles,2023-07-16,06:00,2023-07-16T06:00,16.5,61.7,NOA_blend_equivalent,morning,2023-07-16,7,July,Summer,77.36,True
los_angeles,2023-07-15,18:00,2023-07-15T18:00,20.3,68.54,NOA_blend_equivalent,evening,2023-07-16,7,July,Summer,78.44,True
denver,2023-07-17,06:00,2023-07-17T06:00,15.9,60.62,NOA_blend_equivalent,morning,2023-07-17,7,July,Summer,95.72,True
denver,2023-07-16,18:00,2023-07-16T18:00,29.8,85.64,NOA_blend_equivalent,evening,2023-07-17,7,July,Summer,86.9,True
miami,2023-07-17,06:00,2023-07-17T06:00,26.6,79.88,NOA_blend_equivalent,morning,2023-07-17,7,July,Summer,91.4,True
miami,2023-07-16,18:00,2023-07-16T18:00,27.0,80.6,NOA_blend_equivalent,evening,2023-07-17,7,July,Summer,92.3,True
chicago,2023-07-17,06:00,2023-07-17T06:00,18.1,64.58,NOA_blend_equivalent,morning,2023-07-17,7,July,Summer,79.52,True
chicago,2023-07-16,18:00,2023-07-16T18:00,26.6,79.88,NOA_blend_equivalent,evening,2023-07-17,7,July,Summer,81.86,True
los_angeles,2023-07-17,06:00,2023-07-17T06:00,17.9,64.22,NOA_blend_equivalent,morning,2023-07-17,7,July,Summer,76.28,True
los_angeles,2023-07-16,18:00,2023-07-16T18:00,20.9,69.62,NOA_blend_equivalent,evening,2023-07-17,7,July,Summer,77.36,True
denver,2023-07-18,06:00,2023-07-18T06:00,18.4,65.12,NOA_blend_equivalent,morning,2023-07-18,7,July,Summer,93.74,True
denver,2023-07-17,18:00,2023-07-17T18:00,34.0,93.2,NOA_blend_equivalent,evening,2023-07-18,7,July,Summer,95.72,True
miami,2023-07-18,06:00,2023-07-18T06:00,27.2,80.96,NOA_blend_equivalent,morning,2023-07-18,7,July,Summer,90.32,True
miami,2023-07-17,18:00,2023-07-17T18:00,26.4,79.52,NOA_blend_equivalent,evening,2023-07-18,7,July,Summer,91.4,True
chicago,2023-07-18,06:00,2023-07-18T06:00,16.0,60.8,NOA_blend_equivalent,morning,2023-07-18,7,July,Summer,77.54,True
chicago,2023-07-17,18:00,2023-07-17T18:00,25.2,77.36,NOA_blend_equivalent,evening,2023-07-18,7,July,Summer,79.52,True
los_angeles,2023-07-18,06:00,2023-07-18T06:00,17.3,63.14,NOA_blend_equivalent,morning,2023-07-18,7,July,Summer,73.4,True
los_angeles,2023-07-17,18:00,2023-07-17T18:00,21.4,70.52,NOA_blend_equivalent,evening,2023-07-18,7,July,Summer,76.28,True
denver,2023-07-19,06:00,2023-07-19T06:00,19.0,66.2,NOA_blend_equivalent,morning,2023-07-19,7,July,Summer,87.8,True
denver,2023-07-18,18:00,2023-07-18T18:00,29.2,84.56,NOA_blend_equivalent,evening,2023-07-19,7,July,Summer,93.74,True
miami,2023-07-19,06:00,2023-07-19T06:00,27.8,82.04,NOA_blend_equivalent,morning,2023-07-19,7,July,Summer,86.53999999999999,True
miami,2023-07-18,18:00,2023-07-18T18:00,30.6,87.08000000000001,NOA_blend_equivalent,evening,2023-07-19,7,July,Summer,90.32,True
chicago,2023-07-19,06:00,2023-07-19T06:00,16.6,61.88,NOA_blend_equivalent,morning,2023-07-19,7,July,Summer,82.94,True
chicago,2023-07-18,18:00,2023-07-18T18:00,24.6,76.28,NOA_blend_equivalent,evening,2023-07-19,7,July,Summer,77.54,True
los_angeles,2023-07-19,06:00,2023-07-19T06:00,18.4,65.12,NOA_blend_equivalent,morning,2023-07-19,7,July,Summer,76.64,True
los_angeles,2023-07-18,18:00,2023-07-18T18:00,21.6,70.88,NOA_blend_equivalent,evening,2023-07-19,7,July,Summer,73.4,True
denver,2023-07-20,06:00,2023-07-20T06:00,16.8,62.24,NOA_blend_equivalent,morning,2023-07-20,7,July,Summer,81.14,True
denver,2023-07-19,18:00,2023-07-19T18:00,28.2,82.75999999999999,NOA_blend_equivalent,evening,2023-07-20,7,July,Summer,87.8,True
miami,2023-07-20,06:00,2023-07-20T06:00,28.1,82.58,NOA_blend_equivalent,morning,2023-07-20,7,July,Summer,89.6,True
miami,2023-07-19,18:00,2023-07-19T18:00,32.0,89.6,NOA_blend_equivalent,evening,2023-07-20,7,July,Summer,86.53999999999999,True
chicago,2023-07-20,06:00,2023-07-20T06:00,21.9,71.42,NOA_blend_equivalent,morning,2023-07-20,7,July,Summer,85.1,True
chicago,2023-07-19,18:00,2023-07-19T18:00,29.1,84.38000000000001,NOA_blend_equivalent,evening,2023-07-20,7,July,Summer,82.94,True
los_angeles,2023-07-20,06:00,2023-07-20T06:00,17.5,63.5,NOA_blend_equivalent,morning,2023-07-20,7,July,Summer,76.46,True
los_angeles,2023-07-19,18:00,2023-07-19T18:00,22.6,72.68,NOA_blend_equivalent,evening,2023-07-20,7,July,Summer,76.64,True
denver,2023-07-21,06:00,2023-07-21T06:00,12.9,55.22,NOA_blend_equivalent,morning,2023-07-21,7,July,Summer,81.32,True
denver,2023-07-20,18:00,2023-07-20T18:00,21.2,70.16,NOA_blend_equivalent,evening,2023-07-21,7,July,Summer,81.14,True
miami,2023-07-21,06:00,2023-07-21T06:00,27.8,82.04,NOA_blend_equivalent,morning,2023-07-21,7,July,Summer,90.5,True
miami,2023-07-20,18:00,2023-07-20T18:00,33.1,91.58,NOA_blend_equivalent,evening,2023-07-21,7,July,Summer,89.6,True
chicago,2023-07-21,06:00,2023-07-21T06:00,18.5,65.3,NOA_blend_equivalent,morning,2023-07-21,7,July,Summer,77.72,True
chicago,2023-07-20,18:00,2023-07-20T18:00,28.3,82.94,NOA_blend_equivalent,evening,2023-07-21,7,July,Summer,85.1,True
los_angeles,2023-07-21,06:00,2023-07-21T06:00,16.5,61.7,NOA_blend_equivalent,morning,2023-07-21,7,July,Summer,79.52,True
los_angeles,2023-07-20,18:00,2023-07-20T18:00,22.5,72.5,NOA_blend_equivalent,evening,2023-07-21,7,July,Summer,76.46,True
denver,2023-07-22,06:00,2023-07-22T06:00,14.5,58.1,NOA_blend_equivalent,morning,2023-07-22,7,July,Summer,87.26,True
denver,2023-07-21,18:00,2023-07-21T18:00,26.3,79.34,NOA_blend_equivalent,evening,2023-07-22,7,July,Summer,81.32,True
miami,2023-07-22,06:00,2023-07-22T06:00,26.8,80.24000000000001,NOA_blend_equivalent,morning,2023-07-22,7,July,Summer,91.76,True
miami,2023-07-21,18:00,2023-07-21T18:00,30.6,87.08000000000001,NOA_blend_equivalent,evening,2023-07-22,7,July,Summer,90.5,True
chicago,2023-07-22,06:00,2023-07-22T06:00,18.1,64.58,NOA_blend_equivalent,morning,2023-07-22,7,July,Summer,82.94,True
chicago,2023-07-21,18:00,2023-07-21T18:00,26.4,79.52,NOA_blend_equivalent,evening,2023-07-22,7,July,Summer,77.72,True
los_angeles,2023-07-22,06:00,2023-07-22T06:00,18.0,64.4,NOA_blend_equivalent,morning,2023-07-22,7,July,Summer,77.18,True
los_angeles,2023-07-21,18:00,2023-07-21T18:00,20.1,68.18,NOA_blend_equivalent,evening,2023-07-22,7,July,Summer,79.52,True
denver,2023-07-23,06:00,2023-07-23T06:00,16.0,60.8,NOA_blend_equivalent,morning,2023-07-23,7,July,Summer,93.74,True
denver,2023-07-22,18:00,2023-07-22T18:00,30.2,86.36,NOA_blend_equivalent,evening,2023-07-23,7,July,Summer,87.26,True
miami,2023-07-23,06:00,2023-07-23T06:00,28.1,82.58,NOA_blend_equivalent,morning,2023-07-23,7,July,Summer,94.64,True
miami,2023-07-22,18:00,2023-07-22T18:00,33.9,93.02,NOA_blend_equivalent,evening,2023-07-23,7,July,Summer,91.76,True
chicago,2023-07-23,06:00,2023-07-23T06:00,17.2,62.96,NOA_blend_equivalent,morning,2023-07-23,7,July,Summer,84.2,True
chicago,2023-07-22,18:00,2023-07-22T18:00,25.7,78.25999999999999,NOA_blend_equivalent,evening,2023-07-23,7,July,Summer,82.94,True
los_angeles,2023-07-23,06:00,2023-07-23T06:00,18.5,65.3,NOA_blend_equivalent,morning,2023-07-23,7,July,Summer,77.72,True
los_angeles,2023-07-22,18:00,2023-07-22T18:00,21.2,70.16,NOA_blend_equivalent,evening,2023-07-23,7,July,Summer,77.18,True
denver,2023-07-24,06:00,2023-07-24T06:00,17.8,64.04,NOA_blend_equivalent,morning,2023-07-24,7,July,Summer,93.56,True
denver,2023-07-23,18:00,2023-07-23T18:00,24.8,76.64,NOA_blend_equivalent,evening,2023-07-24,7,July,Summer,93.74,True
miami,2023-07-24,06:00,2023-07-24T06:00,28.6,83.48,NOA_blend_equivalent,morning,2023-07-24,7,July,Summer,93.2,True
miami,2023-07-23,18:00,2023-07-23T18:00,35.9,96.62,NOA_blend_equivalent,evening,2023-07-24,7,July,Summer,94.64,True
chicago,2023-07-24,06:00,2023-07-24T06:00,19.5,67.1,NOA_blend_equivalent,morning,2023-07-24,7,July,Summer,86.0,True
chicago,2023-07-23,18:00,2023-07-23T18:00,27.7,81.86,NOA_blend_equivalent,evening,2023-07-24,7,July,Summer,84.2,True
los_angeles,2023-07-24,06:00,2023-07-24T06:00,18.1,64.58,NOA_blend_equivalent,morning,2023-07-24,7,July,Summer,76.46,True
