commence_time,last_home_odds,last_away_odds,home_score,away_score,result
2023-04-07 02:10:00,138.00,-164.00,2,5,AWAY WIN
2023-04-07 17:10:00,-156.00,132.00,9,3,HOME WIN
2023-04-07 18:20:00,-118.00,100.00,2,0,HOME WIN
2023-04-07 19:05:00,100.00,-118.00,7,6,HOME WIN
2023-04-07 19:05:00,-210.00,176.00,5,2,HOME WIN
2023-04-07 20:10:00,-108.00,-108.00,3,5,AWAY WIN
2023-04-07 20:10:00,-120.00,102.00,3,2,HOME WIN
2023-04-07 20:12:00,116.00,-136.00,13,9,HOME WIN
2023-04-07 20:35:00,-168.00,142.00,1,3,AWAY WIN
2023-04-07 22:40:00,-225.00,188.00,9,5,HOME WIN
2023-04-07 23:20:00,250.00,-360.00,4,5,AWAY WIN
2023-04-08 00:10:00,-152.00,128.00,4,0,HOME WIN
2023-04-08 00:40:00,-120.00,102.00,5,10,AWAY WIN
2023-04-08 01:38:00,-134.00,114.00,3,4,AWAY WIN
2023-04-08 01:40:00,194.00,-240.00,6,3,HOME WIN
2023-04-08 18:10:00,-122.00,104.00,9,6,HOME WIN
2023-04-08 20:05:00,-124.00,106.00,10,3,HOME WIN
2023-04-08 20:05:00,-146.00,124.00,3,2,HOME WIN
2023-04-08 20:05:00,-142.00,120.00,5,6,AWAY WIN
2023-04-08 20:10:00,130.00,-154.00,5,14,AWAY WIN
2023-04-08 20:10:00,-152.00,128.00,5,2,HOME WIN
2023-04-08 20:10:00,-290.00,235.00,11,0,HOME WIN
2023-04-08 22:10:00,340.00,-550.00,2,3,AWAY WIN
2023-04-08 22:36:00,360.00,-600.00,5,11,AWAY WIN
2023-04-08 23:05:00,-210.00,160.00,1,4,AWAY WIN
2023-04-08 23:10:00,610.00,-1100.00,0,6,AWAY WIN
2023-04-08 23:20:00,-150.00,118.00,1,4,AWAY WIN
2023-04-09 00:10:00,132.00,-156.00,12,8,HOME WIN
2023-04-09 00:10:00,-152.00,128.00,6,7,AWAY WIN
2023-04-09 01:07:00,-132.00,112.00,9,5,HOME WIN
2023-04-09 17:05:00,-188.00,158.00,4,6,AWAY WIN
2023-04-09 17:10:00,-102.00,-116.00,1,4,AWAY WIN
2023-04-09 17:10:00,-275.00,225.00,11,0,HOME WIN
2023-04-09 17:35:00,126.00,-148.00,3,5,AWAY WIN
2023-04-09 17:35:00,-102.00,-116.00,1,0,HOME WIN
2023-04-09 17:40:00,102.00,-120.00,7,6,HOME WIN
2023-04-09 17:40:00,-162.00,136.00,2,7,AWAY WIN
2023-04-09 18:10:00,-110.00,-106.00,1,5,AWAY WIN
2023-04-09 18:10:00,-156.00,132.00,6,1,HOME WIN
2023-04-09 18:20:00,-116.00,-102.00,2,8,AWAY WIN
2023-04-09 19:10:00,-142.00,120.00,7,6,HOME WIN
2023-04-09 20:05:00,-162.00,136.00,3,1,HOME WIN
2023-04-09 20:07:00,-132.00,112.00,11,12,AWAY WIN
2023-04-09 20:10:00,112.00,-132.00,11,6,HOME WIN
2023-04-09 23:08:00,360.00,-550.00,2,10,AWAY WIN
2023-04-10 18:10:00,-112.00,-104.00,3,4,AWAY WIN
2023-04-10 22:10:00,-136.00,106.00,3,2,HOME WIN
2023-04-10 22:35:00,158.00,-188.00,2,8,AWAY WIN
2023-04-10 22:35:00,-850.00,520.00,5,1,HOME WIN
2023-04-10 22:40:00,-104.00,-112.00,15,3,HOME WIN
2023-04-10 22:40:00,-158.00,124.00,1,0,HOME WIN
2023-04-10 23:10:00,-140.00,110.00,5,0,HOME WIN
2023-04-10 23:20:00,-160.00,128.00,5,4,HOME WIN
2023-04-10 23:39:45,100.00,-128.00,3,2,HOME WIN
2023-04-11 00:05:00,-174.00,146.00,11,2,HOME WIN
2023-04-11 00:40:00,124.00,-146.00,7,4,HOME WIN
2023-04-11 01:38:00,-250.00,205.00,4,6,AWAY WIN
2023-04-11 01:40:00,-144.00,122.00,3,0,HOME WIN
2023-04-11 01:45:00,130.00,-154.00,1,9,AWAY WIN
2023-04-11 22:09:05,144.00,-172.00,2,11,AWAY WIN
2023-04-11 22:35:00,-330.00,240.00,12,8,HOME WIN
2023-04-11 22:35:00,160.00,-210.00,7,4,HOME WIN
2023-04-11 22:39:54,-2000.00,1040.00,7,2,HOME WIN
2023-04-11 22:40:00,138.00,-174.00,4,8,AWAY WIN
2023-04-11 23:07:00,124.00,-156.00,9,3,HOME WIN
2023-04-11 23:10:00,-152.00,120.00,2,4,AWAY WIN
2023-04-11 23:20:11,-148.00,116.00,7,6,HOME WIN
2023-04-11 23:40:00,160.00,-210.00,14,9,HOME WIN
2023-04-11 23:40:00,136.00,-174.00,4,3,HOME WIN
2023-04-12 00:05:00,-300.00,245.00,8,5,HOME WIN
2023-04-12 00:40:00,144.00,-172.00,6,9,AWAY WIN
2023-04-12 01:38:00,-320.00,260.00,2,0,HOME WIN
2023-04-12 01:40:00,108.00,-126.00,1,7,AWAY WIN
2023-04-12 01:45:00,134.00,-158.00,5,0,HOME WIN
2023-04-12 16:35:00,158.00,-188.00,0,7,AWAY WIN
2023-04-12 17:10:00,-156.00,132.00,3,1,HOME WIN
2023-04-12 17:10:00,-116.00,-102.00,5,2,HOME WIN
2023-04-12 18:20:00,-108.00,-108.00,2,5,AWAY WIN
2023-04-12 19:10:00,152.00,-180.00,4,7,AWAY WIN
2023-04-12 19:40:00,126.00,-148.00,7,3,HOME WIN
2023-04-12 20:05:00,-190.00,160.00,2,3,AWAY WIN
2023-04-12 20:07:00,-172.00,144.00,3,2,HOME WIN
2023-04-12 22:35:00,170.00,-220.00,4,8,AWAY WIN
2023-04-12 22:39:58,-4500.00,1850.00,9,7,HOME WIN
2023-04-12 23:07:00,-174.00,136.00,4,3,HOME WIN
2023-04-12 23:20:00,-196.00,152.00,5,4,HOME WIN
2023-04-13 00:05:00,-168.00,142.00,1,10,AWAY WIN
2023-04-13 01:45:00,130.00,-154.00,5,10,AWAY WIN
2023-04-13 17:05:00,-205.00,172.00,8,7,HOME WIN
2023-04-13 17:10:00,-184.00,154.00,9,3,HOME WIN
2023-04-13 22:40:00,-650.00,400.00,6,2,HOME WIN
2023-04-13 23:05:00,-154.00,130.00,2,11,AWAY WIN
2023-04-13 23:07:00,-230.00,176.00,1,3,AWAY WIN
2023-04-13 23:45:00,-410.00,290.00,0,5,AWAY WIN
2023-04-14 01:40:00,-164.00,138.00,3,4,AWAY WIN
2023-04-14 22:40:00,-4500.00,1850.00,5,1,HOME WIN
2023-04-14 22:40:00,770.00,-1450.00,3,8,AWAY WIN
2023-04-14 22:40:00,-174.00,134.00,7,5,HOME WIN
2023-04-14 23:04:00,-106.00,-118.00,3,4,AWAY WIN
2023-04-14 23:05:00,-360.00,250.00,3,4,AWAY WIN
2023-04-14 23:07:00,-340.00,245.00,6,3,HOME WIN
2023-04-14 23:10:00,-166.00,140.00,3,6,AWAY WIN
2023-04-14 23:10:00,220.00,-310.00,5,3,HOME WIN
2023-04-15 00:10:00,114.00,-134.00,3,10,AWAY WIN
2023-04-15 00:10:00,-172.00,144.00,2,6,AWAY WIN
2023-04-15 00:15:00,-158.00,134.00,3,0,HOME WIN
2023-04-15 01:40:00,-168.00,142.00,2,11,AWAY WIN
2023-04-15 01:40:00,190.00,-230.00,6,17,AWAY WIN
2023-04-15 02:10:00,-162.00,136.00,2,8,AWAY WIN
2023-04-15 02:10:00,-166.00,140.00,5,3,HOME WIN
2023-04-15 17:05:00,-138.00,118.00,6,1,HOME WIN
2023-04-15 18:10:00,100.00,-118.00,7,6,HOME WIN
2023-04-15 18:15:00,-180.00,152.00,3,6,AWAY WIN
2023-04-15 20:05:00,-124.00,106.00,10,3,HOME WIN
2023-04-15 20:07:00,162.00,-194.00,2,3,AWAY WIN
2023-04-15 20:10:00,-132.00,112.00,3,2,HOME WIN
2023-04-15 20:10:00,100.00,-118.00,9,7,HOME WIN
2023-04-15 20:10:00,112.00,-132.00,13,0,HOME WIN
2023-04-15 21:45:25,390.00,-600.00,4,6,AWAY WIN
2023-04-15 22:45:00,640.00,-1200.00,3,9,AWAY WIN
2023-04-15 23:09:42,120.00,-150.00,8,2,HOME WIN
2023-04-16 01:10:00,-144.00,122.00,2,1,HOME WIN
2023-04-16 01:40:00,-250.00,205.00,9,2,HOME WIN
2023-04-16 17:35:00,-112.00,-104.00,2,1,HOME WIN
2023-04-16 17:35:00,194.00,-240.00,7,6,HOME WIN
2023-04-16 17:35:00,-168.00,142.00,2,0,HOME WIN
2023-04-16 17:37:00,-102.00,-116.00,1,8,AWAY WIN
2023-04-16 17:40:00,-134.00,116.00,0,5,AWAY WIN
2023-04-16 17:40:00,158.00,-188.00,3,14,AWAY WIN
2023-04-16 18:10:00,136.00,-162.00,4,5,AWAY WIN
2023-04-16 18:10:00,-138.00,118.00,4,8,AWAY WIN
2023-04-16 18:15:00,-184.00,154.00,5,4,HOME WIN
2023-04-16 20:10:00,-245.00,200.00,2,3,AWAY WIN
2023-04-16 20:10:00,-174.00,146.00,0,1,AWAY WIN
2023-04-16 23:10:00,-260.00,190.00,1,9,AWAY WIN
2023-04-17 15:10:00,132.00,-156.00,4,5,AWAY WIN
2023-04-17 22:40:00,-800.00,480.00,8,1,HOME WIN
2023-04-17 22:40:00,220.00,-310.00,4,3,HOME WIN
2023-04-17 23:39:31,820.00,-1600.00,0,4,AWAY WIN
2023-04-17 23:45:00,-116.00,-112.00,3,6,AWAY WIN
2023-04-18 00:10:00,100.00,-118.00,9,2,HOME WIN
2023-04-18 00:40:00,-138.00,118.00,3,14,AWAY WIN
2023-04-18 01:40:00,128.00,-152.00,0,2,AWAY WIN
2023-04-18 01:40:00,118.00,-138.00,1,10,AWAY WIN
2023-04-18 01:40:00,126.00,-148.00,3,7,AWAY WIN
2023-04-18 02:10:00,-164.00,138.00,6,8,AWAY WIN
2023-04-18 22:40:00,-450.00,300.00,4,2,HOME WIN
2023-04-18 23:05:00,-108.00,-118.00,0,1,AWAY WIN
