game_id,external_game_id,commence_time,completed,home_team,away_team,opening_away_odds,opening_home_odds,opening_recorded_at,closing_away_odds,closing_home_odds,closing_recorded_at,away_odds_movement,home_odds_movement,home_score,away_score,final_period,game_result,away_team_profit_loss
5309,8455e11d3c0a0a9bfbb06a22612bec32,2025-06-26 01:46:00,0,San Francisco Giants,Miami Marlins,160.00,-190.00,2025-06-24 18:14:22,176.00,-210.00,2025-06-25 03:30:29,16.00,-20.00,,,,NO_SCORE,0.0000
5302,99c18957b17e2f57c61d4cfe0dcbb5d6,2025-06-25 22:41:00,0,Detroit Tigers,Oakland Athletics,152.00,-180.00,2025-06-24 18:14:22,140.00,-166.00,2025-06-25 03:30:29,-12.00,14.00,,,,NO_SCORE,0.0000
5282,d893be2d3acf8c365a65051634a0dee1,2025-06-25 01:46:00,0,San Francisco Giants,Miami Marlins,154.00,-184.00,2025-06-23 18:44:58,-125.00,-102.00,2025-06-25 03:30:29,-279.00,82.00,,,,NO_SCORE,0.0000
5283,31d09bdf5fbe6b0d2835ee397ae2a319,2025-06-25 01:41:00,0,San Diego Padres,Washington Nationals,138.00,-164.00,2025-06-23 22:15:23,560.00,-1000.00,2025-06-25 03:30:29,422.00,-836.00,,,,NO_SCORE,0.0000
5276,901bd83f42ee139ebaeeed92f0283262,2025-06-24 23:41:24,0,Milwaukee Brewers,Pittsburgh Pirates,160.00,-190.00,2025-06-23 18:44:58,3000.00,-50000.00,2025-06-25 01:45:52,2840.00,-49810.00,,,,NO_SCORE,0.0000
5271,fc795e8581fc2ec2fdac062b5bb2a041,2025-06-24 01:41:00,0,San Diego Padres,Washington Nationals,138.00,-164.00,2025-06-23 04:45:38,-2000.00,830.00,2025-06-24 03:57:26,-2138.00,994.00,,,,NO_SCORE,0.0000
5270,5e6a4ec786f4c72b8b7636e89299034e,2025-06-23 23:41:54,0,Milwaukee Brewers,Pittsburgh Pirates,158.00,-188.00,2025-06-23 03:00:35,-2500.00,900.00,2025-06-24 02:34:01,-2658.00,1088.00,,,,NO_SCORE,0.0000
5256,9c6c27d8efecf7adc1f8a8176a6c184c,2025-06-22 20:06:00,0,San Francisco Giants,Boston Red Sox,138.00,-164.00,2025-06-21 18:14:56,1500.00,-7000.00,2025-06-22 22:14:31,1362.00,-6836.00,,,,NO_SCORE,0.0000
5252,81f05da100c2ad06b2394f75e0a3f356,2025-06-22 18:11:00,0,Minnesota Twins,Milwaukee Brewers,136.00,-162.00,2025-06-21 18:14:56,-164.00,128.00,2025-06-22 21:30:07,-300.00,290.00,,,,NO_SCORE,0.0000
5262,89255f01993b6ae41f25579956afbf03,2025-06-22 17:38:00,0,Toronto Blue Jays,Chicago White Sox,180.00,-215.00,2025-06-21 20:42:20,-4000.00,1100.00,2025-06-22 20:15:15,-4180.00,1315.00,,,,NO_SCORE,0.0000
5248,431cf00e5dd82eb78d43af1d299b487d,2025-06-22 15:38:00,0,New York Yankees,Baltimore Orioles,144.00,-172.00,2025-06-21 18:00:05,3000.00,-50000.00,2025-06-22 18:36:54,2856.00,-49828.00,,,,NO_SCORE,0.0000
5241,b72508547772d08353de3edae287bf1e,2025-06-21 23:16:00,0,San Diego Padres,Kansas City Royals,150.00,-178.00,2025-06-20 18:29:05,1400.00,-6000.00,2025-06-22 01:30:14,1250.00,-5822.00,,,,NO_SCORE,0.0000
5238,f5637ec07726be9668aaaf1a07e0bc58,2025-06-21 20:06:00,0,San Francisco Giants,Boston Red Sox,130.00,-154.00,2025-06-20 18:29:05,1060.00,-3500.00,2025-06-21 22:15:03,930.00,-3346.00,,,,NO_SCORE,0.0000
5247,0fa7e91fe399a7fff4fab775a0e18c03,2025-06-21 19:08:03,0,Toronto Blue Jays,Chicago White Sox,166.00,-198.00,2025-06-20 19:15:19,1700.00,-10000.00,2025-06-21 20:42:20,1534.00,-9802.00,,,,NO_SCORE,0.0000
5237,05bf94fb854222d8b0485b964035a325,2025-06-21 18:21:00,0,Chicago Cubs,Seattle Mariners,134.00,-158.00,2025-06-20 18:15:37,3500.00,-50000.00,2025-06-21 21:15:30,3366.00,-49842.00,,,,NO_SCORE,0.0000
5236,c6365a4e83a9c146d1bc7c40acf8ee5b,2025-06-21 18:16:00,0,St. Louis Cardinals,Cincinnati Reds,166.00,-198.00,2025-06-20 18:15:37,168.00,-220.00,2025-06-21 21:34:28,2.00,-22.00,,,,NO_SCORE,0.0000
5235,e9b423719aabee0ab81f1d203f04e0ed,2025-06-21 17:10:00,0,New York Yankees,Baltimore Orioles,136.00,-162.00,2025-06-20 18:15:37,2000.00,-20000.00,2025-06-21 18:26:56,1864.00,-19838.00,,,,NO_SCORE,0.0000
5221,59bdff7006cd4b932e0bc237a8fd2795,2025-06-21 02:11:00,0,Los Angeles Dodgers,Washington Nationals,158.00,-188.00,2025-06-19 18:15:23,1100.00,-4000.00,2025-06-21 04:52:21,942.00,-3812.00,,,,NO_SCORE,0.0000
5230,fd7a17829695c95ef5186babd95b1dbb,2025-06-21 01:41:00,0,San Diego Padres,Kansas City Royals,158.00,-188.00,2025-06-20 01:15:15,-10000.00,1700.00,2025-06-21 04:43:52,-10158.00,1888.00,,,,NO_SCORE,0.0000
5219,ec73fd05a460d50471cee186b7099e4d,2025-06-21 00:15:21,0,Minnesota Twins,Milwaukee Brewers,158.00,-188.00,2025-06-19 18:15:23,-50000.00,3500.00,2025-06-21 02:14:24,-50158.00,3688.00,,,,NO_SCORE,0.0000
5228,96c90dbdcd3e4c57026d1405abc4939b,2025-06-20 23:08:49,0,Toronto Blue Jays,Chicago White Sox,160.00,-190.00,2025-06-20 00:44:24,-50000.00,3500.00,2025-06-21 01:00:30,-50160.00,3690.00,,,,NO_SCORE,0.0000
