commence_time,last_home_odds,last_away_odds,last_total,last_over_odds,last_under_odds,home_score,away_score,total_runs,result,ou_result
2023-04-04 01:40:00,130.00,-154.00,7.5,1.83,1.98,11,12,23,AWAY WIN,OVER
2023-04-04 01:40:00,-142.00,120.00,7.5,2.04,1.78,3,7,10,AWAY WIN,OVER
2023-04-04 02:10:00,-225.00,188.00,8.5,1.93,1.89,13,4,17,HOME WIN,OVER
2023-04-04 20:10:00,-142.00,120.00,7.0,1.91,1.91,6,8,14,AWAY WIN,OVER
2023-04-04 22:40:00,-260.00,194.00,9.5,2.22,1.64,5,12,17,AWAY WIN,OVER
2023-04-04 22:40:00,-460.00,320.00,3.5,2.00,1.78,1,0,1,HOME WIN,UNDER
2023-04-04 23:05:00,168.00,-215.00,7.5,2.10,1.71,1,4,5,AWAY WIN,UNDER
2023-04-04 23:05:00,118.00,-150.00,13.5,1.77,2.02,6,10,16,AWAY WIN,OVER
2023-04-04 23:10:00,148.00,-190.00,9.5,1.78,2.00,1,4,5,AWAY WIN,UNDER
2023-04-04 23:39:42,-210.00,160.00,8.5,1.68,2.14,9,0,9,HOME WIN,OVER
2023-04-04 23:40:00,136.00,-174.00,8.5,1.74,2.06,1,4,5,AWAY WIN,UNDER
2023-04-04 23:45:00,126.00,-160.00,11.5,2.00,1.78,1,4,5,AWAY WIN,UNDER
2023-04-05 00:05:00,-148.00,126.00,8.5,1.89,1.93,2,7,9,AWAY WIN,OVER
2023-04-05 00:10:00,-290.00,235.00,7.5,1.83,1.98,3,6,9,AWAY WIN,OVER
2023-04-05 01:40:00,164.00,-196.00,6.5,1.78,2.04,4,3,7,HOME WIN,OVER
2023-04-05 01:40:00,-174.00,146.00,7.5,2.02,1.81,11,2,13,HOME WIN,OVER
2023-04-05 02:10:00,-270.00,220.00,7.5,1.89,1.93,5,2,7,HOME WIN,UNDER
2023-04-05 17:05:00,-146.00,124.00,6.5,1.78,2.04,4,2,6,HOME WIN,UNDER
2023-04-05 17:05:00,205.00,-250.00,8.0,1.87,1.95,2,7,9,AWAY WIN,OVER
2023-04-05 17:10:00,-102.00,-116.00,7.5,2.00,1.82,5,2,7,HOME WIN,UNDER
2023-04-05 17:35:00,-154.00,130.00,9.5,2.02,1.81,1,4,5,AWAY WIN,UNDER
2023-04-05 17:40:00,-148.00,126.00,7.5,1.95,1.87,7,6,13,HOME WIN,OVER
2023-04-05 18:10:00,-134.00,114.00,7.5,1.95,1.87,7,3,10,HOME WIN,OVER
2023-04-05 18:10:00,-245.00,200.00,7.5,1.94,1.88,8,2,10,HOME WIN,OVER
2023-04-05 19:37:00,114.00,-134.00,8.5,1.98,1.83,4,6,10,AWAY WIN,OVER
2023-04-05 20:10:00,134.00,-158.00,7.5,2.00,1.82,3,4,7,AWAY WIN,UNDER
2023-04-05 23:40:00,144.00,-186.00,7.5,2.02,1.77,0,3,3,AWAY WIN,UNDER
2023-04-06 17:10:00,130.00,-154.00,8.0,1.94,1.88,3,6,9,AWAY WIN,OVER
2023-04-06 18:10:00,-136.00,116.00,8.0,1.94,1.88,6,16,22,AWAY WIN,OVER
2023-04-06 18:10:00,168.00,-200.00,8.5,1.88,1.94,3,6,9,AWAY WIN,OVER
2023-04-06 20:10:00,-132.00,112.00,10.5,1.83,1.98,1,0,1,HOME WIN,UNDER
2023-04-06 23:20:00,-330.00,235.00,6.5,1.78,2.00,7,6,13,HOME WIN,OVER
2023-04-07 02:10:00,138.00,-164.00,9.0,1.98,1.83,2,5,7,AWAY WIN,UNDER
2023-04-07 17:10:00,-156.00,132.00,7.5,1.91,1.91,9,3,12,HOME WIN,OVER
2023-04-07 18:20:00,-118.00,100.00,6.5,1.82,2.00,2,0,2,HOME WIN,UNDER
2023-04-07 19:05:00,100.00,-118.00,8.5,1.85,1.96,7,6,13,HOME WIN,OVER
2023-04-07 19:05:00,-210.00,176.00,7.0,1.83,1.98,5,2,7,HOME WIN,PUSH
2023-04-07 20:10:00,-108.00,-108.00,7.0,1.91,1.91,3,5,8,AWAY WIN,OVER
2023-04-07 20:10:00,-120.00,102.00,7.5,1.91,1.91,3,2,5,HOME WIN,UNDER
2023-04-07 20:12:00,116.00,-136.00,8.0,1.91,1.91,13,9,22,HOME WIN,OVER
2023-04-07 20:35:00,-168.00,142.00,8.0,1.87,1.95,1,3,4,AWAY WIN,UNDER
2023-04-07 22:40:00,-225.00,188.00,13.5,1.78,2.00,9,5,14,HOME WIN,OVER
2023-04-07 23:20:00,250.00,-360.00,10.5,1.70,2.12,4,5,9,AWAY WIN,UNDER
2023-04-08 00:10:00,-152.00,128.00,8.5,1.93,1.89,4,0,4,HOME WIN,UNDER
2023-04-08 00:40:00,-120.00,102.00,11.0,1.83,1.98,5,10,15,AWAY WIN,OVER
2023-04-08 01:38:00,-134.00,114.00,9.0,1.85,1.96,3,4,7,AWAY WIN,UNDER
2023-04-08 01:40:00,194.00,-240.00,9.0,1.85,1.96,6,3,9,HOME WIN,PUSH
2023-04-08 18:10:00,-122.00,104.00,7.5,1.91,1.91,9,6,15,HOME WIN,OVER
2023-04-08 20:05:00,-146.00,124.00,8.0,1.89,1.93,3,2,5,HOME WIN,UNDER
2023-04-08 20:05:00,-142.00,120.00,8.5,2.02,1.81,5,6,11,AWAY WIN,OVER
2023-04-08 20:10:00,130.00,-154.00,8.5,2.00,1.82,5,14,19,AWAY WIN,OVER
2023-04-08 20:10:00,-152.00,128.00,7.5,1.87,1.95,5,2,7,HOME WIN,UNDER
2023-04-08 20:10:00,-290.00,235.00,8.0,1.98,1.83,11,0,11,HOME WIN,OVER
2023-04-08 22:10:00,340.00,-550.00,6.5,2.02,1.77,2,3,5,AWAY WIN,UNDER
2023-04-08 22:36:00,360.00,-600.00,12.5,1.96,1.82,5,11,16,AWAY WIN,OVER
2023-04-08 23:05:00,-210.00,160.00,6.5,1.85,1.93,1,4,5,AWAY WIN,UNDER
2023-04-08 23:10:00,610.00,-1100.00,10.5,1.88,1.88,0,6,6,AWAY WIN,UNDER
2023-04-08 23:20:00,-150.00,118.00,6.5,1.71,2.10,1,4,5,AWAY WIN,UNDER
2023-04-09 00:10:00,132.00,-156.00,9.5,1.95,1.87,12,8,20,HOME WIN,OVER
2023-04-09 00:10:00,-152.00,128.00,11.0,1.91,1.91,6,7,13,AWAY WIN,OVER
2023-04-09 01:07:00,-132.00,112.00,9.0,1.82,2.00,9,5,14,HOME WIN,OVER
2023-04-09 17:05:00,-188.00,158.00,8.5,1.95,1.87,4,6,10,AWAY WIN,OVER
2023-04-09 17:10:00,-102.00,-116.00,8.5,1.94,1.88,1,4,5,AWAY WIN,UNDER
2023-04-09 17:10:00,-275.00,225.00,7.5,2.00,1.82,11,0,11,HOME WIN,OVER
2023-04-09 17:35:00,126.00,-148.00,7.5,1.83,1.98,3,5,8,AWAY WIN,OVER
2023-04-09 17:35:00,-102.00,-116.00,8.5,1.91,1.91,1,0,1,HOME WIN,UNDER
2023-04-09 17:40:00,102.00,-120.00,8.0,1.88,1.94,7,6,13,HOME WIN,OVER
2023-04-09 17:40:00,-162.00,136.00,7.5,1.91,1.91,2,7,9,AWAY WIN,OVER
2023-04-09 18:10:00,-110.00,-106.00,8.0,1.91,1.91,1,5,6,AWAY WIN,UNDER
2023-04-09 18:10:00,-156.00,132.00,8.5,1.87,1.95,6,1,7,HOME WIN,UNDER
2023-04-09 18:20:00,-116.00,-102.00,8.0,1.91,1.91,2,8,10,AWAY WIN,OVER
2023-04-09 19:10:00,-142.00,120.00,11.5,1.91,1.91,7,6,13,HOME WIN,OVER
2023-04-09 20:05:00,-162.00,136.00,8.5,1.85,1.96,3,1,4,HOME WIN,UNDER
2023-04-09 20:07:00,-132.00,112.00,10.0,1.95,1.87,11,12,23,AWAY WIN,OVER
2023-04-09 20:10:00,112.00,-132.00,9.5,1.83,1.98,11,6,17,HOME WIN,OVER
2023-04-09 23:08:00,360.00,-550.00,10.5,1.93,1.85,2,10,12,AWAY WIN,OVER
2023-04-10 18:10:00,-112.00,-104.00,7.5,1.91,1.91,3,4,7,AWAY WIN,UNDER
2023-04-10 22:10:00,-136.00,106.00,6.5,1.68,2.14,3,2,5,HOME WIN,UNDER
2023-04-10 22:35:00,158.00,-188.00,12.5,1.72,2.08,2,8,10,AWAY WIN,UNDER
2023-04-10 22:35:00,-850.00,520.00,8.5,2.02,1.77,5,1,6,HOME WIN,UNDER
2023-04-10 22:40:00,-104.00,-112.00,10.5,1.87,1.88,15,3,18,HOME WIN,OVER
2023-04-10 22:40:00,-158.00,124.00,3.5,2.12,1.70,1,0,1,HOME WIN,UNDER
2023-04-10 23:10:00,-140.00,110.00,5.5,1.85,1.93,5,0,5,HOME WIN,UNDER
2023-04-10 23:20:00,-160.00,128.00,6.5,1.72,2.08,5,4,9,HOME WIN,OVER
2023-04-10 23:39:45,100.00,-128.00,7.5,2.06,1.74,3,2,5,HOME WIN,UNDER
2023-04-11 00:05:00,-174.00,146.00,8.5,1.85,1.96,11,2,13,HOME WIN,OVER
2023-04-11 00:40:00,124.00,-146.00,11.5,1.91,1.91,7,4,11,HOME WIN,UNDER
2023-04-11 01:38:00,-250.00,205.00,9.5,1.85,1.96,4,6,10,AWAY WIN,OVER
2023-04-11 01:40:00,-144.00,122.00,9.0,1.88,1.94,3,0,3,HOME WIN,UNDER
2023-04-11 01:45:00,130.00,-154.00,7.5,2.00,1.82,1,9,10,AWAY WIN,OVER
2023-04-11 22:09:05,144.00,-172.00,14.5,1.90,1.87,2,11,13,AWAY WIN,UNDER
2023-04-11 22:35:00,-330.00,240.00,9.5,1.90,1.87,12,8,20,HOME WIN,OVER
2023-04-11 22:35:00,160.00,-210.00,7.5,1.88,1.88,7,4,11,HOME WIN,OVER
2023-04-11 22:39:54,-2000.00,1040.00,6.5,2.12,1.70,7,2,9,HOME WIN,OVER
2023-04-11 22:40:00,138.00,-174.00,4.5,1.74,2.06,4,8,12,AWAY WIN,OVER
2023-04-11 23:07:00,124.00,-156.00,10.5,1.72,2.08,9,3,12,HOME WIN,OVER
2023-04-11 23:10:00,-152.00,120.00,5.5,1.82,1.96,2,4,6,AWAY WIN,OVER
2023-04-11 23:20:11,-148.00,116.00,9.5,1.77,2.02,7,6,13,HOME WIN,OVER
2023-04-11 23:40:00,160.00,-210.00,11.5,1.78,2.00,14,9,23,HOME WIN,OVER
2023-04-11 23:40:00,136.00,-174.00,9.5,1.90,1.87,4,3,7,HOME WIN,UNDER
2023-04-12 00:05:00,-300.00,245.00,8.0,1.94,1.88,8,5,13,HOME WIN,OVER
2023-04-12 00:40:00,144.00,-172.00,12.0,1.87,1.95,6,9,15,AWAY WIN,OVER
2023-04-12 01:38:00,-320.00,260.00,8.5,1.91,1.91,2,0,2,HOME WIN,UNDER
2023-04-12 01:40:00,108.00,-126.00,8.5,1.83,1.98,1,7,8,AWAY WIN,UNDER
2023-04-12 01:45:00,134.00,-158.00,8.5,1.96,1.85,5,0,5,HOME WIN,UNDER
2023-04-12 16:35:00,158.00,-188.00,9.5,2.02,1.81,0,7,7,AWAY WIN,UNDER
2023-04-12 17:10:00,-156.00,132.00,8.5,1.91,1.91,3,1,4,HOME WIN,UNDER
2023-04-12 17:10:00,-116.00,-102.00,8.5,1.91,1.91,5,2,7,HOME WIN,UNDER
2023-04-12 18:20:00,-108.00,-108.00,10.0,1.95,1.87,2,5,7,AWAY WIN,UNDER
2023-04-12 19:10:00,152.00,-180.00,12.5,1.82,2.00,4,7,11,AWAY WIN,UNDER
2023-04-12 19:40:00,126.00,-148.00,8.5,1.98,1.83,7,3,10,HOME WIN,OVER
2023-04-12 20:05:00,-190.00,160.00,8.0,1.91,1.91,2,3,5,AWAY WIN,UNDER
2023-04-12 20:07:00,-172.00,144.00,9.5,1.95,1.87,3,2,5,HOME WIN,UNDER
2023-04-12 22:35:00,170.00,-220.00,10.5,1.82,1.96,4,8,12,AWAY WIN,OVER
2023-04-12 22:39:58,-4500.00,1850.00,10.5,1.82,1.96,9,7,16,HOME WIN,OVER
2023-04-12 23:07:00,-174.00,136.00,6.5,1.88,1.88,4,3,7,HOME WIN,OVER
2023-04-12 23:20:00,-196.00,152.00,9.5,1.76,2.04,5,4,9,HOME WIN,UNDER
2023-04-13 00:05:00,-168.00,142.00,9.0,1.95,1.87,1,10,11,AWAY WIN,OVER
2023-04-13 01:45:00,130.00,-154.00,7.5,1.96,1.85,5,10,15,AWAY WIN,OVER
2023-04-13 17:05:00,-205.00,172.00,9.5,1.91,1.91,8,7,15,HOME WIN,OVER
2023-04-13 17:10:00,-184.00,154.00,8.0,1.89,1.93,9,3,12,HOME WIN,OVER
2023-04-13 22:40:00,-650.00,400.00,9.5,1.76,2.04,6,2,8,HOME WIN,UNDER
2023-04-13 23:05:00,-154.00,130.00,16.5,2.06,1.74,2,11,13,AWAY WIN,UNDER
2023-04-13 23:07:00,-230.00,176.00,8.5,1.96,1.82,1,3,4,AWAY WIN,UNDER
2023-04-13 23:45:00,-410.00,290.00,8.5,1.90,1.87,0,5,5,AWAY WIN,UNDER
2023-04-14 01:40:00,-164.00,138.00,9.0,1.95,1.87,3,4,7,AWAY WIN,UNDER
2023-04-14 22:40:00,-4500.00,1850.00,8.5,2.14,1.68,5,1,6,HOME WIN,UNDER
2023-04-14 22:40:00,770.00,-1450.00,10.5,1.88,1.88,3,8,11,AWAY WIN,OVER
